lfdn;duration;Group;Gender;Age;Education;SocialStatus;MaritalStatus;Relationship;TinderAcc;AccFreqUse;DatingYesNo;Socialiazing1;Socialiazing2;SocPress1;Socpress2;Socapprov1;Socapprov2;Entetain1;Entertain2;PassTime1;PassTime2;RelSeek1;RelSeek2;InfoSeek1;InfoSeek2;SexualExp1;SexualExp2;SexualExp3;Rosenberg1;Rosenberg2;Rosenberg3;Rosenberg4;Rosenberg5;Rosenberg6;Rosenberg7;Rosenberg8;Rosenberg9;Rosenberg10;BAS1;BAS2;BAS3;BAS4 ;BAS5;BAS6;BAS7;BAS8;BAS9;BAS10;BAS11;BAS12;BAS13;Sport1;Sport2;Attention1;Attention2;Attention3;Attention4;Motor1;Motor2;Motor3;FuturePlan1;FuturePlan2;FuturePlan3;FuturePlan4
18;189;NonUser;Female;25;University;EmployesStudent;Single;RelClose;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;3;0;0;3;3;0;1;3;3;0;1;1;1;1;1;4;1;2;3;1;1;2;1;1;1;1;2;2;1;4;2;2;1;2;2;1
19;730;User;Male;23;University;Student;Single;None;Yes;5;1;1;1;3;3;2;1;1;1;2;1;1;2;3;3;1;2;1;3;1;1;3;3;0;1;2;3;0;1;1;1;1;1;4;2;3;3;1;2;1;1;2;3;3;2;2;1;3;2;3;2;3;2;3
20;282;NonUser;Female;25;University;Employed;Single;RelClose;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;1;1;3;2;2;1;2;2;1;2;3;3;2;3;2;1;2;2;3;2;3;3;2;3;2;3;3;1;3;2;2;1;3;3;1
21;629;User;Female;24;University;Student;Single;None;Yes;5;1;2;1;2;2;1;1;1;1;1;1;1;1;1;2;2;2;2;3;2;0;2;3;2;1;1;3;1;2;2;2;2;2;3;2;4;3;2;2;2;2;2;2;4;3;2;1;4;2;3;2;3;1;2
22;298;User;Female;22;University;Student;Single;PunctSex;Yes;4;1;1;1;3;1;1;1;1;1;2;1;2;1;3;3;3;1;3;1;2;1;1;1;2;3;0;2;2;2;2;2;2;2;3;2;3;4;2;1;1;2;1;1;4;3;4;1;3;3;3;2;2;2;2
23;452;User;Female;26;University;EmployesStudent;Single;RelOpen;Yes;2;1;1;1;3;2;3;1;1;1;1;1;1;3;3;3;1;1;1;2;1;1;2;2;1;2;1;2;1;2;2;3;2;2;3;2;3;3;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;3
24;471;NonUser;Female;42;University;Employed;Married;RelClose;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;1;1;1;1;2;2;2;2;2;1;3;4;4;4;4;2;3;4;2;4;2;3;3;1;2;3;2;4;3;3;2;2;2;1;2;2
25;348;NonUser;Female;24;University;EmployesStudent;Single;None;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;2;1;2;2;2;2;2;2;1;2;2;2;3;2;3;2;2;2;2;2;2;3;3;2;2;2;3;3;3;1;2;2;3;2;3
26;2314;NonUser;Male;18;University;EmployesStudent;Single;PunctSex;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;3;1;0;2;3;0;1;1;3;1;2;1;3;1;1;4;1;3;1;1;1;2;1;1;1;3;1;3;1;1;3;3;1;2;2;2
27;553;User;Male;18;University;Student;Single;PunctSex;Yes;2;1;1;1;3;3;3;2;1;2;3;1;1;1;3;3;2;3;2;2;0;0;3;3;0;1;3;1;1;1;1;2;1;2;4;1;3;2;1;1;3;1;1;1;2;3;1;1;3;2;3;1;2;1;1
28;656;NonUser;Female;22;University;Student;Single;RelClose;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;1;2;1;2;2;2;3;0;2;2;3;3;3;2;3;2;3;3;3;3;2;3;3;2;2;3;3;3;2;3;3;2;3;2;2;2
29;283;NonUser;Female;25;University;Employed;Single;RelClose;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;2;1;2;2;2;1;1;3;1;1;1;1;1;1;4;2;3;1;1;3;3;1;2;3;4;3;4;2;4;2;3;1;2;3;1
30;483;User;Female;25;University;Student;Single;None;Yes;4;1;1;3;3;2;3;3;1;1;1;1;1;3;3;3;1;1;1;3;1;1;3;3;0;1;1;3;1;2;3;2;2;2;3;2;2;3;3;2;3;2;2;2;2;2;2;2;3;2;3;2;3;2;3
31;318;NonUser;Female;20;University;Student;Single;RelClose;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;1;1;2;2;2;2;2;2;1;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;3;2;2;2;3;2;2;2;2;2;2
32;307;NonUser;Female;17;University;EmployesStudent;Single;RelClose;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;2;1;2;2;2;2;1;3;1;2;2;2;3;2;3;2;4;4;2;1;3;2;1;1;4;2;3;2;4;3;3;2;2;2;2
33;396;NonUser;Female;20;Secondary;Student;Single;None;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;1;2;1;2;3;2;1;3;2;2;2;3;3;2;2;2;2;4;4;3;2;3;3;1;1;3;4;2;1;3;4;4;2;1;2;1
34;814;NonUser;Female;21;Secondary;Student;Single;RelClose;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;0;1;2;2;2;2;0;3;1;2;2;2;1;2;3;2;3;2;2;2;2;2;2;2;3;3;3;2;4;3;3;2;3;1;2
35;230;NonUser;Female;19;University;Student;Single;None;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;1;2;1;2;1;3;2;0;2;1;2;3;3;4;3;2;2;3;3;4;2;2;2;1;2;3;2;4;1;4;2;3;3;1;2;1
36;614;NonUser;Female;25;University;EmployesStudent;Single;RelClose;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;1;2;1;3;2;3;2;1;3;1;2;3;3;3;2;3;2;1;3;2;2;2;2;1;1;4;2;4;1;4;2;3;1;2;2;2
37;707;User;Female;22;University;Student;Single;None;Yes;5;1;2;2;1;1;1;2;1;2;1;1;2;1;1;3;3;1;3;2;3;1;2;2;2;2;0;2;2;2;2;2;1;2;3;2;1;2;2;2;2;2;2;2;3;3;3;1;4;4;4;2;3;2;1
38;244;NonUser;Female;24;University;Employed;Single;RelOpen;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;3;3;1;1;1;3;3;0;1;2;2;3;3;3;3;2;3;2;1;3;3;2;2;4;4;2;3;3;1;3;2;2;2;4;2;3
39;412;User;Female;23;Secondary;Employed;Single;PunctSex;Yes;5;1;1;1;3;3;2;1;1;1;2;1;3;1;1;3;2;2;2;2;2;1;3;3;1;1;3;2;1;1;2;2;1;2;3;2;3;3;3;2;2;2;1;1;3;1;2;2;3;1;2;1;2;2;1
40;305;NonUser;Female;32;University;Employed;Single;RelClose;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;3;1;0;3;3;0;1;2;3;0;2;2;2;1;1;3;2;3;2;1;2;3;2;2;3;2;3;2;2;2;2;2;2;2;1;2
41;396;NonUser;Male;25;University;EmployesStudent;Single;RelClose;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;3;1;0;3;3;0;1;3;3;0;2;1;1;1;1;4;1;2;1;1;2;1;1;2;1;3;2;2;1;4;2;3;1;3;2;2
42;459;User;Female;24;University;EmployesStudent;Single;RelOpen;Yes;3;1;2;1;3;1;3;1;1;2;1;1;2;2;3;3;3;2;3;1;1;1;2;2;2;2;2;1;1;1;3;2;2;2;3;2;4;4;2;2;3;2;1;1;4;3;3;1;4;3;3;2;2;2;1
43;434;User;Female;25;University;EmployesStudent;Single;None;Yes;2;1;3;3;3;3;3;2;1;2;1;1;1;3;3;3;2;3;3;3;0;0;2;2;1;1;2;3;0;2;2;2;1;2;3;2;2;3;1;2;2;1;1;2;2;2;4;2;3;3;3;3;4;2;2
44;249;NonUser;Male;49;University;Employed;Married;RelClose;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;3;0;0;3;3;1;4;3;3;0;1;1;1;1;1;4;2;3;4;1;1;1;1;2;1;2;3;4;2;4;3;3;2;3;2;2
45;632;User;Male;24;University;EmployesStudent;Single;PunctSex;Yes;3;1;1;3;3;3;3;3;2;1;3;3;1;2;2;1;1;3;2;2;2;0;3;2;2;1;2;3;0;2;1;2;1;1;3;3;3;2;1;2;1;1;2;2;2;3;3;2;3;3;2;2;4;4;1
46;317;NonUser;Male;25;University;EmployesStudent;Single;None;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;1;0;2;3;2;1;1;3;1;2;1;1;2;1;3;2;2;1;2;3;1;1;2;3;2;1;3;1;3;2;1;2;4;2;1
47;413;NonUser;Female;19;University;Student;Single;None;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;1;2;1;3;2;2;2;1;2;1;2;3;2;3;3;2;3;3;3;3;2;2;3;2;2;3;2;3;2;3;3;3;2;3;2;2
48;468;User;Male;24;University;Student;Single;None;Yes;4;1;1;1;3;1;3;2;2;2;2;1;1;1;3;3;3;1;2;1;1;1;2;1;2;2;1;2;1;2;3;3;2;2;3;2;3;3;3;2;1;2;2;3;3;1;3;2;4;2;2;2;3;2;2
49;175;NonUser;Male;22;University;EmployesStudent;Single;RelClose;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;3;2;0;3;2;0;1;3;3;1;2;1;1;1;1;2;2;2;3;1;1;1;1;2;1;4;3;2;1;4;3;3;2;2;2;2
50;818;NonUser;Male;26;University;EmployesStudent;Single;PunctSex;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;1;1;2;1;2;2;1;3;1;1;2;2;2;2;3;1;3;4;2;2;3;1;2;2;3;1;2;2;3;1;4;2;2;2;2
51;-1;NonUser;Male;26;University;Student;Single;RelOpen;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;3;0;0;3;3;0;1;2;3;0;1;1;1;1;1;4;1;3;4;1;1;2;1;1;1;2;2;4;1;2;3;2;1;3;1;2
52;423;User;Male;24;University;Student;Single;None;Yes;3;1;1;1;3;3;3;1;1;1;2;3;2;2;1;3;1;3;3;3;0;0;3;3;2;1;3;3;0;1;1;1;2;1;4;1;4;4;1;1;2;1;1;1;1;1;1;2;2;2;2;1;4;3;1
53;293;NonUser;Female;24;Secondary;Employed;Single;RelClose;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;1;2;3;2;1;2;2;0;1;3;4;4;3;4;3;2;3;4;4;3;3;3;3;2;1;2;2;3;1;3;2;2;2;2;1;3
54;613;User;Male;21;University;Employed;Single;None;Yes;4;2;3;1;3;2;3;1;3;2;1;1;1;1;3;3;3;3;3;3;2;0;3;3;1;1;1;3;0;1;1;1;1;1;4;1;1;3;2;1;2;1;1;1;2;1;3;1;1;3;4;1;2;1;2
55;264;User;Female;24;University;Employed;Single;None;Yes;4;1;1;2;1;3;1;1;1;1;2;1;1;2;1;1;3;1;2;3;1;0;3;2;1;2;1;2;0;1;2;2;3;2;3;2;4;1;3;1;2;2;1;1;2;3;2;1;4;4;4;1;1;1;1
56;398;NonUser;Female;23;Secondary;Employed;Single;RelClose;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;1;2;1;2;1;2;2;0;1;2;2;3;3;3;2;2;2;3;3;3;2;2;3;1;1;3;1;3;2;3;2;3;2;3;3;2
57;369;User;Female;24;Secondary;EmployesStudent;Single;None;Yes;2;1;1;1;2;1;3;2;1;1;2;1;3;2;1;3;2;3;3;1;2;1;2;2;2;1;1;3;1;2;3;2;3;3;3;2;3;3;3;2;2;2;1;1;4;2;2;2;3;3;3;2;2;2;2
58;222;NonUser;Male;23;University;Student;Single;RelClose;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;1;1;3;1;2;1;2;3;1;2;2;3;2;2;3;2;2;3;2;2;2;2;1;2;3;2;3;1;3;3;2;1;3;2;1
59;319;NonUser;Female;24;University;EmployesStudent;Single;RelClose;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;2;1;3;2;2;2;2;3;1;2;2;1;2;2;4;2;3;3;1;2;3;2;2;2;3;2;3;2;3;2;1;2;3;2;3
60;990;NonUser;Male;22;University;Student;Single;None;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;2;1;3;2;2;2;0;2;0;1;1;1;1;1;3;3;1;3;1;3;3;1;1;1;3;1;3;2;3;1;3;3;2;2;3
61;402;User;Female;26;University;EmployesStudent;Single;None;Yes;3;1;1;1;1;1;3;1;1;3;1;1;2;2;3;3;2;1;2;1;2;0;3;2;2;1;1;2;1;3;3;4;3;3;4;2;2;3;4;3;3;3;3;3;3;2;3;1;3;2;2;1;1;2;1
62;467;User;Male;25;University;EmployesStudent;Single;None;Yes;3;1;3;2;1;1;3;3;3;3;1;1;1;1;1;1;3;3;1;1;2;1;2;1;3;2;1;1;2;2;2;2;2;2;3;2;3;2;2;2;2;2;2;2;3;3;3;2;4;2;3;4;3;3;3
63;232;NonUser;Male;24;University;Student;Single;RelClose;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;1;1;2;3;2;2;3;2;0;1;2;2;1;2;4;2;3;4;1;2;4;2;2;2;3;3;3;2;3;3;3;2;2;2;2
64;590;NonUser;Male;25;Secondary;Student;Single;None;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;1;1;2;2;1;2;2;2;1;2;2;2;2;2;3;2;2;3;2;2;2;2;2;2;3;3;2;2;3;3;3;2;3;2;2
65;1074;NonUser;Male;23;University;Student;Single;None;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;1;0;3;2;2;2;2;2;1;2;2;2;2;2;3;2;3;2;2;2;2;2;2;2;2;2;3;2;3;2;3;2;3;2;2
66;419;NonUser;Male;23;University;Student;Single;None;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;0;1;2;2;1;2;2;3;0;2;2;2;1;2;4;2;2;2;1;1;3;2;1;1;3;4;3;3;4;4;4;1;3;2;2
67;322;NonUser;Female;20;University;Student;Single;None;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;1;2;1;2;2;2;3;1;2;1;2;3;3;2;2;2;2;2;2;3;3;1;2;4;4;2;2;2;1;3;2;2;2;2;2;2
68;448;NonUser;Female;25;Secondary;EmployesStudent;Single;None;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;0;0;2;2;0;1;2;3;1;1;2;2;2;2;3;1;3;3;1;2;2;2;1;1;2;2;3;1;2;2;2;1;2;2;1
69;212;NonUser;Female;24;University;Unemployed;Single;RelClose;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;1;2;0;2;2;3;2;2;2;1;2;2;1;2;1;3;1;3;3;2;1;3;1;1;1;3;3;3;1;4;4;3;3;3;3;2
70;335;NonUser;Female;26;University;Employed;Single;RelClose;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;3;0;1;2;2;2;3;2;3;1;2;2;3;2;2;3;3;2;4;2;2;3;2;1;1;2;1;1;2;2;1;1;2;1;1;1
71;465;NonUser;Female;26;University;Student;Single;RelClose;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;1;2;1;2;2;2;2;0;2;3;3;4;3;4;3;2;2;4;4;4;2;4;3;2;3;3;2;4;2;3;2;2;1;1;2;1
72;300;User;Female;23;University;Student;Single;None;Yes;4;1;1;1;3;1;3;3;1;2;1;1;1;1;3;1;3;3;3;2;1;1;2;2;1;2;1;3;1;3;2;3;3;3;2;2;4;3;3;2;3;3;1;1;3;3;1;1;3;2;1;1;1;1;1
73;347;User;Male;24;University;Student;Single;RelClose;Yes;4;1;1;1;3;3;3;2;1;1;1;1;2;1;1;3;3;3;2;3;1;0;3;2;1;1;3;3;1;1;1;2;2;1;3;2;2;2;1;3;2;1;3;3;3;1;3;1;4;1;1;2;1;3;1
74;191;NonUser;Male;17;University;Student;Single;None;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;0;0;3;3;0;2;2;3;1;2;2;2;2;2;3;2;2;4;2;2;2;2;3;1;2;2;2;2;3;2;2;2;2;2;2
75;269;User;Male;24;University;Student;Single;None;Yes;4;1;2;2;3;1;3;1;1;2;1;1;2;2;3;3;2;3;2;2;2;1;2;2;1;2;3;2;1;1;1;1;1;1;4;1;3;4;1;1;3;2;1;1;3;2;3;2;3;3;3;2;3;3;2
76;233;User;Female;23;University;Student;Single;PunctSex;Yes;4;1;1;2;3;3;3;3;1;1;1;1;2;3;1;3;3;3;3;3;1;0;3;3;0;1;2;3;2;2;2;2;2;2;3;3;3;4;2;2;3;1;1;1;4;3;4;1;3;3;4;1;3;1;2
