lfdn;duration;Group;Gender;Age;Education;SocialStatus;MaritalStatus;Relationship;TinderAcc;AccFreqUse;DatingYesNo;Socialiazing1;Socialiazing2;SocPress1;Socpress2;Socapprov1;Socapprov2;Entetain1;Entertain2;PassTime1;PassTime2;RelSeek1;RelSeek2;InfoSeek1;InfoSeek2;SexualExp1;SexualExp2;SexualExp3;Rosenberg1;Rosenberg2;Rosenberg3;Rosenberg4;Rosenberg5;Rosenberg6;Rosenberg7;Rosenberg8;Rosenberg9;Rosenberg10;BAS1;BAS2;BAS3;BAS4 ;BAS5;BAS6;BAS7;BAS8;BAS9;BAS10;BAS11;BAS12;BAS13;Sport1;Sport2;Attention1;Attention2;Attention3;Attention4;Motor1;Motor2;Motor3;FuturePlan1;FuturePlan2;FuturePlan3;FuturePlan4
95;1331;TNonUser;Female;23;University;Student;Single;RelClose;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;3;0;0;3;3;0;1;2;3;1;1;1;1;1;1;4;1;3;2;1;1;2;1;1;1;3;2;2;1;3;3;1;1;3;3;3
96;2049;TNonUser;Female;18;Secondary;EmployesStudent;Single;RelClose;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;1;1;3;2;1;2;2;3;1;1;1;1;4;2;3;4;3;1;2;2;4;1;3;1;4;2;3;1;4;2;4;1;3;2;1
97;428;TNonUser;Male;19;University;Student;Single;None;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;1;3;0;3;1;3;2;2;2;1;3;1;1;1;1;3;3;1;1;1;4;1;1;2;3;2;1;4;1;4;1;2;4;2;2;1
98;372;TNonUser;Female;20;University;Student;Single;RelClose;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;1;1;1;1;1;2;1;2;2;1;1;2;3;2;2;2;2;1;2;2;1;3;2;2;3;3;3;4;2;4;3;3;3;3;3;3
99;532;TNonUser;Female;24;University;Student;Single;None;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;2;1;3;1;0;1;3;3;0;1;2;2;1;2;3;3;1;2;2;2;2;1;3;3;2;2;3;2;3;2;3;2;4;3;3
100;525;TNonUser;Female;17;Secondary;EmployesStudent;Single;RelClose;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;1;1;2;1;1;3;2;1;2;2;3;2;2;1;2;1;4;3;1;2;3;3;3;3;4;4;3;3;2;4;3;3;2;2;4;2
101;284;TNonUser;Female;24;University;Employed;Single;RelClose;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;1;1;3;2;1;1;2;1;1;2;1;2;2;2;3;2;3;2;2;2;3;1;3;3;3;3;2;2;3;3;3;2;2;2;1
102;314;TNonUser;Female;19;Secondary;Employed;Single;None;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;1;0;3;2;2;4;1;3;1;2;1;1;1;1;2;2;1;2;1;2;1;1;2;2;2;2;3;2;4;3;3;3;3;1;3
103;394;TNonUser;Female;17;Secondary;Student;Single;None;No;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;1;1;1;2;1;2;1;0;1;1;2;3;3;3;3;2;3;2;1;3;3;1;3;3;2;3;4;4;2;3;3;3;3;2;3;3
104;452;TUser;Female;26;University;EmployesStudent;Single;RelOpen;Yes;3;1;1;1;3;3;3;2;2;2;1;1;1;1;3;3;2;3;3;2;0;0;1;3;1;2;2;2;0;2;1;1;1;3;2;2;2;1;1;1;1;1;2;2;1;2;2;1;4;3;1;2;1;1;2
105;553;TUser;Male;18;University;Student;Single;PunctSex;Yes;4;1;3;1;2;1;3;2;1;1;1;1;2;3;3;2;1;3;2;2;1;0;2;1;2;1;3;1;0;1;2;1;2;2;3;2;2;2;2;2;3;2;1;2;2;2;2;2;3;1;2;3;3;2;2
106;483;TUser;Female;25;University;Student;Single;None;Yes;4;1;1;1;1;3;2;2;1;1;3;1;2;2;1;1;1;2;2;2;0;0;3;3;0;1;0;2;1;2;2;1;2;2;2;1;4;4;2;2;4;1;1;1;4;4;4;1;1;3;2;1;4;2;3
107;707;TUser;Male;22;University;Student;Single;None;Yes;5;1;1;1;3;3;2;1;1;1;1;1;1;1;1;3;3;3;3;2;1;0;1;2;1;1;2;1;0;1;1;1;1;1;2;2;3;4;1;1;3;2;1;1;1;1;3;1;4;1;2;2;3;4;2
108;412;TUser;Female;23;Secondary;Employed;Single;PunctSex;Yes;4;2;1;2;3;1;3;3;1;1;1;1;2;2;3;2;2;2;2;2;0;1;3;2;0;2;2;2;1;2;2;1;2;2;3;2;2;2;2;1;2;1;2;3;3;2;3;2;3;3;3;2;3;2;2
109;459;TUser;Female;24;University;EmployesStudent;Single;RelOpen;Yes;3;1;3;2;3;2;2;1;2;3;1;1;2;1;2;3;3;3;3;2;0;1;3;1;0;2;2;2;1;2;3;1;3;2;2;2;3;1;2;1;3;3;2;2;1;2;3;1;3;2;2;2;2;4;2
110;434;TUser;Female;25;University;EmployesStudent;Single;None;Yes;4;1;1;1;3;1;3;1;1;1;3;1;1;1;3;3;2;2;2;2;0;0;1;2;1;1;3;3;0;1;2;1;1;2;4;2;2;2;1;1;1;2;2;1;2;1;2;1;3;1;2;2;2;2;1
111;632;TUser;Male;24;University;EmployesStudent;Single;PunctSex;Yes;3;2;3;1;3;1;3;2;1;2;1;1;1;3;1;2;2;1;2;2;2;0;3;1;1;2;1;3;1;3;3;1;3;2;2;3;3;3;3;1;2;2;2;3;1;2;2;1;2;3;2;3;1;2;1
112;468;TUser;Male;23;University;Student;Single;None;Yes;4;1;1;1;3;3;3;2;1;1;2;1;1;1;3;2;1;3;1;2;1;1;1;2;1;2;2;0;1;2;2;1;1;2;3;2;2;1;2;1;1;2;3;3;3;3;3;2;3;2;3;2;3;3;3
113;423;TUser;Male;24;University;Student;Single;None;Yes;5;1;1;1;3;3;2;1;1;1;2;1;1;2;3;3;2;2;1;3;1;1;3;2;0;1;2;2;0;1;1;1;1;1;4;2;3;3;1;2;1;1;2;3;3;2;2;1;3;2;2;2;3;2;3
114;613;TUser;Male;21;University;Employed;Single;None;Yes;5;1;2;1;2;2;1;1;1;1;1;1;1;1;1;2;2;2;2;3;2;0;1;3;2;1;1;3;1;2;2;1;2;2;2;2;2;1;2;2;2;1;2;2;4;3;2;1;4;2;2;2;3;1;2
115;264;TUser;Female;24;University;Employed;Single;RelClose;Yes;4;1;1;1;3;1;1;1;1;1;2;1;2;1;3;3;2;1;3;1;2;1;1;2;2;2;0;2;2;2;2;1;2;2;3;2;3;4;2;1;1;2;1;1;4;3;4;1;3;3;1;2;2;2;2
116;369;TUser;Female;24;Secondary;EmployesStudent;Single;None;Yes;2;1;1;1;2;1;3;2;1;1;2;1;3;2;1;2;2;3;3;1;2;1;1;2;2;1;1;2;1;2;3;1;3;3;3;2;3;1;3;1;2;2;1;1;4;2;2;2;3;3;2;2;2;4;2
117;402;TUser;Female;26;University;EmployesStudent;Single;RelClose;Yes;3;1;1;1;1;1;3;1;1;3;1;1;2;1;3;3;2;1;2;1;2;0;1;2;2;1;1;1;1;3;3;1;3;3;4;2;2;1;4;1;3;3;3;3;3;2;3;1;3;2;2;1;4;2;1
118;467;TUser;Male;25;University;EmployesStudent;Single;RelOpen;Yes;3;1;3;2;1;1;3;3;3;3;1;1;1;1;1;2;3;3;1;1;2;1;1;1;1;2;1;1;0;2;2;1;2;2;3;2;2;2;2;1;2;1;2;2;3;3;3;2;4;2;3;4;3;3;3
119;300;TUser;Female;23;University;Student;Single;RelClose;Yes;4;1;1;1;3;1;3;3;1;2;1;1;1;1;3;1;3;3;3;2;1;1;3;2;1;2;1;3;1;3;2;1;3;3;2;2;4;3;3;1;3;3;1;1;3;3;1;1;3;2;2;1;1;1;1
120;347;TUser;Male;24;University;Student;Single;RelClose;Yes;4;1;1;1;3;3;3;2;1;1;1;1;2;1;1;3;2;3;2;3;1;0;3;2;1;1;3;1;1;1;1;1;2;1;3;2;2;2;1;1;2;1;3;3;3;1;3;1;4;1;1;2;1;3;1
121;269;TUser;Male;24;University;Student;Single;RelOpen;Yes;4;1;2;2;3;1;3;1;1;2;1;1;2;2;3;3;2;3;2;2;2;1;1;2;1;2;3;2;1;1;1;1;1;1;2;1;2;4;1;1;3;1;1;1;3;2;3;2;3;3;2;2;3;3;2
